INVERTED INDEX FOR 500 DOCUMENTS
====================================================================================================
Format: word	document_count	document_hashes
0px	3	310d73b8d1b4933a55c825448c14b74c,8bd283c5ac392610d3bf811617be53b2,dd43b1d7e17786f64c83c681616738d3
1	96	0089addb16de18d4a2d66fcb38b15617,016b8f1d2207c9bfa405d305cadd3ae9,03a973e1801d86168cea38b382c80bb2,0574c6441a54955bd9347ee8d08b1c4d,05c039dde5d4a96fc7716c8d8440d8c2,095c8dc813f0718e49118b6871f23980,097825d72d05ff49a1cd59007360d42b,0c2b505497a89a98319b4f770035accd,0cab10ffdf621c57d430c379de73fc00,1034032e5de2a4fe79702a5e35ae573a,1201dfbb4678715df63998d245f032d3,1cb2fd3c3c5f25ebd08d1293958260aa,20e6bf372c3462d6267a5b02d727a1ff,2c8822e9739571650178e3a1f7bead26,2dd0644f7d960c1130a2f842a3ddf1d5,2e34664843decfdd46b4b32c98c874ca,2e9672848ee874fbf26ebfa5093871c0,2f8364ee9ec945cd0fd87b99fd1a15e5,310d73b8d1b4933a55c825448c14b74c,339b663c1c7f56a85cc92a40a227cf0f,37f5016bab7a5e9951363d67201ca1c1,3b724e6d9bdb4158c4d6c003b7ea9718,3f83fa0f62605134fd333d87f65ca980,4188f2130be998c0b93317959d45e87a,41ad3e0f99b157092624e7c5eab0a68a,42c37ee0548a21f274f46802aa302c77,442b1164322b0f9c2dbe47156a04b770,45d0b01a9ec0986878a65110a3674e7a,47d4cf38c5d82ed8750c6122648419be,495e4598657e942ed31d5e01039156b5,49997d547e4ebe5079296dbe9f5aded1,4feec12384e94775ad61c7ad01735b3f,50331f43be7a50da4eff51799b7f2369,512a9d8ae499874a9637b36f930bcfdd,557b6e19c2ea32ccf60e4fc417c54fae,5a57aff54eb284aa91f99e890ad439d0,5cc6d45bd3480012d65cfc5a298ff083,5f93ab0387b5d2bf7b7375788c8e2eae,649ac01335e2bb1cb8ebedaf855eef03,6719f77e452fc33c9b988df95eb37aa9,68a5e99fb8125b8150985acdc9bb7ea4,69318110e2ae6793ccbaa86578c9d61a,712097dc3eb1c8c55094f5258d84fd98,754fdc4bc0d4696145e8e22005c7e063,79dbd0919f541be416d61bbdbf943bac,7d3c611acca2b3fdadbd90f5d41b842c,7d9ef8f866b1ea5adddf0852b041de6e,7ec366e5020adce458a4b28100e1f36c,7f9033e0ab82a36dce26dcb20801058c,82e1916229ff13f81bd8122a0fa5c7fb,83cbc3cff7fda63d40f17159f78e304e,84255c85b8698a373f281ac9393d28ab,8bd283c5ac392610d3bf811617be53b2,9122a1647296fe948c9f106143309588,95697c74f3429c56bfea26d4f3cdbc2f,975d068141281f97c439c4e736825e81,98269e06133e0b1eed0df4fd6e986768,9dbe16684982fa1e2575333bda9e4da7,a121319582f50d66d4048868a97c202a,a5b3adc6acb894c87b22e1f87dcd3277,a834f33a4574fab94f8d5a3f0dfb6e21,abcbf44be98a0c301592490c58805586,ac24f669de9b77887d9fe85415fb85c3,af888c7fcafacf20341e8b65b67d354c,b03d7ca470ac4ee2ca5d6c3797f458f1,b047c03cb5117fe6d41edab9046bc2dc,b32acced5bd6606daebf92770dbbf7db,b3fbd0f4c9dfea7447801807ee817223,b78ef5e2a6548a4696429e11c2b2e07e,c0b2f61e9bcd9d4fc97655220ba65af5,c28f54be26c8562bd3e4be07a2992e17,c5221b844e57a037b76df93892ba38fe,c93e08681d4df708cd14f44b9265d04e,cba3fee7775785371ee0fdbfab2dfb14,cca25aece2c08945274919fa6c14b941,d0a9b29396a52afb864ba2e120f665dc,d8eaeaa4000edfff8c0c923dcd0302ab,dd43b1d7e17786f64c83c681616738d3,dde8c2a4a6721a3d087f702f3b0eef25,e20ea41bf5f22957cdde4236172b8554,e36a8e52e431c9e4c4f1d615072a5522,e4f48c51447d0eaeddabb81a68e48dae,e695dacd3d44a8b8e2436580e758b919,e76fbc83bd913eac1ac6860fad8ba079,e964b7c64b22a1f993dae357d17d00aa,ecb48a4c7e91cb534fcce0355326043f,ed45eed89251d567fd51e51a9504a089,edf936c8d947edce4fa14c3e599082f6,ef0be29f98f0c3c29a567f8d1525b002,f13a68d2667f6b2b164405e2a23dc10d,f1982c9ea16ce1942178fc31e306e022,f27c31532c964d59f64cc56cd1562320,f2a7dbd010947f1c8d0f3cd91047db05,f66b3b60225f209090b6bbc6570929f9,f8d5b9d5f1efef4cadd56f1bcd132b75,f8d5fc0b0423086b3dad5101d9ebf10b
1-1	1	f49d97e18065d6dd2f96aac798c3d8de
1-10	2	05c039dde5d4a96fc7716c8d8440d8c2,4188f2130be998c0b93317959d45e87a
1-12	2	0b547af2efad17b66221ccf0a9950110,af888c7fcafacf20341e8b65b67d354c
1-13	1	47d4cf38c5d82ed8750c6122648419be
1-14	1	495e4598657e942ed31d5e01039156b5
1-18	1	05c039dde5d4a96fc7716c8d8440d8c2
1-19	1	f8d5b9d5f1efef4cadd56f1bcd132b75
1-2	5	3b724e6d9bdb4158c4d6c003b7ea9718,495e4598657e942ed31d5e01039156b5,7b673c073c5cf39d0c898ac286ffdbdf,d14dc4a5a59ce911b8763ec783c8450a,ec5897469117373db12a4df05490373d
1-25	1	05c039dde5d4a96fc7716c8d8440d8c2
1-27	1	05c039dde5d4a96fc7716c8d8440d8c2
1-29	1	95697c74f3429c56bfea26d4f3cdbc2f
1-3	23	0cab10ffdf621c57d430c379de73fc00,172480efeaa0d98a7987f2d13ec04dba,339b663c1c7f56a85cc92a40a227cf0f,3b724e6d9bdb4158c4d6c003b7ea9718,4be79d8f210eefd73707f8c8cb9ce132,512a9d8ae499874a9637b36f930bcfdd,69318110e2ae6793ccbaa86578c9d61a,712097dc3eb1c8c55094f5258d84fd98,7cdbe28bd7fd9e8622a9995715114db9,7ec366e5020adce458a4b28100e1f36c,84255c85b8698a373f281ac9393d28ab,a121319582f50d66d4048868a97c202a,aaf92d0f177be659ccd6fff1f839146d,af888c7fcafacf20341e8b65b67d354c,b723c0a6b322478652e00a3adc536572,c0617c260022183eb1cb3be16fd4a533,c0b2f61e9bcd9d4fc97655220ba65af5,e6a8c147d73480c07ece3498d9401978,ecb48a4c7e91cb534fcce0355326043f,edf936c8d947edce4fa14c3e599082f6,eec2a1783980371f8e97071d82d429d4,ef0be29f98f0c3c29a567f8d1525b002,f3f0318612c9f63af07d12936e9bd0bf
1-35	1	05c039dde5d4a96fc7716c8d8440d8c2
1-4	3	05c039dde5d4a96fc7716c8d8440d8c2,3b724e6d9bdb4158c4d6c003b7ea9718,af888c7fcafacf20341e8b65b67d354c
1-5	4	4188f2130be998c0b93317959d45e87a,5a57aff54eb284aa91f99e890ad439d0,8cd90a0d9df7e687c57dfa37da065c4c,ec5897469117373db12a4df05490373d
1-6	11	0cab10ffdf621c57d430c379de73fc00,172480efeaa0d98a7987f2d13ec04dba,339b663c1c7f56a85cc92a40a227cf0f,512a9d8ae499874a9637b36f930bcfdd,69318110e2ae6793ccbaa86578c9d61a,712097dc3eb1c8c55094f5258d84fd98,7ec366e5020adce458a4b28100e1f36c,c0617c260022183eb1cb3be16fd4a533,c0b2f61e9bcd9d4fc97655220ba65af5,eec2a1783980371f8e97071d82d429d4,ef0be29f98f0c3c29a567f8d1525b002
1-639	1	5b3dc312b94c488a56040309e01c96b3
1-7	3	05c039dde5d4a96fc7716c8d8440d8c2,47d4cf38c5d82ed8750c6122648419be,f2a7dbd010947f1c8d0f3cd91047db05
1-8	2	4188f2130be998c0b93317959d45e87a,ac24f669de9b77887d9fe85415fb85c3
1-800-433-3243	1	f8d5b9d5f1efef4cadd56f1bcd132b75
1-800-968-2638	1	dd43b1d7e17786f64c83c681616738d3
1-800-quit-now	1	d8eaeaa4000edfff8c0c923dcd0302ab
1-9	1	edf936c8d947edce4fa14c3e599082f6
1-904	1	cca25aece2c08945274919fa6c14b941
1-hour	5	03a973e1801d86168cea38b382c80bb2,7f9033e0ab82a36dce26dcb20801058c,807fa32684bd174e40cb3322817e7c46,b0115929a1674192c5c191960040ff0a,f6fe1f7904be9647a826e9ca1eb24c73
1-march	1	95697c74f3429c56bfea26d4f3cdbc2f
1-volume	1	4188f2130be998c0b93317959d45e87a
1-year	1	0d43fbf6429a9c59f705db76cedc94a7
10	47	03a973e1801d86168cea38b382c80bb2,0574c6441a54955bd9347ee8d08b1c4d,05c039dde5d4a96fc7716c8d8440d8c2,0c2b505497a89a98319b4f770035accd,151f22582112f5dd34c586760b3dd21f,153e7eebe45ef7eae023a5c53f0d5acc,179b3aeaac12bfcc993fafa3eab60321,203732ce3777ebad30ce2b7848e6e6f0,235cff66c1d0ea85a2a1a79bec9f83e0,28d092fa1b4598311ef13807ca3ca8b7,2b5f9d234790d3ee36d95ee0b96f2c99,2e34664843decfdd46b4b32c98c874ca,30eac631e38c10727a55dae1a85b6b55,32431d8853c43652d2a0ffa39d66dffb,368400fbd432a5b23ee94dc2885ebba8,38f67749ff2cf8f8b80473731513ffa1,4188f2130be998c0b93317959d45e87a,42c37ee0548a21f274f46802aa302c77,47d4cf38c5d82ed8750c6122648419be,47ea71d9976451496b3fd62183f8c9b0,512a9d8ae499874a9637b36f930bcfdd,54e83f43ba859fd7d232ec525d3950cc,5b3dc312b94c488a56040309e01c96b3,601fcd5246a597f54b9aacb0e7843c71,6d11d9cb251024ade228502c7c52af10,7d3c611acca2b3fdadbd90f5d41b842c,7d9ef8f866b1ea5adddf0852b041de6e,807fa32684bd174e40cb3322817e7c46,855b45bf6e84858fbdf54c063ac9e475,8b04dc79b7b86fb40b4eabbee42efd62,95697c74f3429c56bfea26d4f3cdbc2f,95edd602f1c5a10ffa16ced364723959,9dbe16684982fa1e2575333bda9e4da7,a83ae03131ad1278e269350096ab1a98,b723c0a6b322478652e00a3adc536572,b84d2669e809b68f531ea69aa14473dd,c93e08681d4df708cd14f44b9265d04e,c96db28a77cd7351db4ac46b7be33a15,cd839c513eed469458729fba5e77c565,dbb0b8a260ef990eae07ee061bfdccf6,e36a8e52e431c9e4c4f1d615072a5522,e76fbc83bd913eac1ac6860fad8ba079,ecb48a4c7e91cb534fcce0355326043f,f13a68d2667f6b2b164405e2a23dc10d,f2a7dbd010947f1c8d0f3cd91047db05,f6fe1f7904be9647a826e9ca1eb24c73,f8d5b9d5f1efef4cadd56f1bcd132b75
10-15	3	3deb06a41188bcb6e0d647f62f065be0,f8d5b9d5f1efef4cadd56f1bcd132b75,f8d5fc0b0423086b3dad5101d9ebf10b
10-business-day	1	32431d8853c43652d2a0ffa39d66dffb
10-minute	2	339b663c1c7f56a85cc92a40a227cf0f,b047c03cb5117fe6d41edab9046bc2dc
10-pound	1	f8d5fc0b0423086b3dad5101d9ebf10b
10-week	1	d18146341ed7a99e6b81ee36969d38e4
100	24	0089addb16de18d4a2d66fcb38b15617,0cab10ffdf621c57d430c379de73fc00,1830a6cdfeee77bf0ba0211e259bfbb8,3473d3e8aacec289efa0e8d2732fc1e4,4b48884ed2239986effdc9f7fb7fc1c3,512a9d8ae499874a9637b36f930bcfdd,54e83f43ba859fd7d232ec525d3950cc,5a8f569757d8de697c849f6213661cbe,5b3d191f47621ff82a870019886bcaea,6437136d1aae6fa39e08b39ce4f155e6,712097dc3eb1c8c55094f5258d84fd98,788d64fc0364f4a8dfa407299b3f2c83,9205c63398fa751ae2c2852722b2a29b,a121319582f50d66d4048868a97c202a,a269f02efd4cac9dbbc0c250d5b7b95b,a83ae03131ad1278e269350096ab1a98,ac24f669de9b77887d9fe85415fb85c3,b5b87d8132a4776e7a89c633ff951c68,b84d2669e809b68f531ea69aa14473dd,cca25aece2c08945274919fa6c14b941,d03fedd811983808ab9cbe760082668b,d8eaeaa4000edfff8c0c923dcd0302ab,dde8c2a4a6721a3d087f702f3b0eef25,ef0be29f98f0c3c29a567f8d1525b002
1000	6	310d73b8d1b4933a55c825448c14b74c,32431d8853c43652d2a0ffa39d66dffb,8bd283c5ac392610d3bf811617be53b2,9dbe16684982fa1e2575333bda9e4da7,dd43b1d7e17786f64c83c681616738d3,f8d5b9d5f1efef4cadd56f1bcd132b75
1004	1	cca25aece2c08945274919fa6c14b941
1005	1	9dbe16684982fa1e2575333bda9e4da7
1008	1	9dbe16684982fa1e2575333bda9e4da7
1009	1	cca25aece2c08945274919fa6c14b941
100gb	1	d6fae5a16ef45e8fc95503205e620fb1
100h	2	13aa6a118c466ac62169aacc3f3ec219,b723c0a6b322478652e00a3adc536572
100l	3	712097dc3eb1c8c55094f5258d84fd98,84255c85b8698a373f281ac9393d28ab,eec2a1783980371f8e97071d82d429d4
100s	4	13aa6a118c466ac62169aacc3f3ec219,4be79d8f210eefd73707f8c8cb9ce132,7ec366e5020adce458a4b28100e1f36c,af888c7fcafacf20341e8b65b67d354c
101	8	172480efeaa0d98a7987f2d13ec04dba,235cff66c1d0ea85a2a1a79bec9f83e0,339b663c1c7f56a85cc92a40a227cf0f,41ad3e0f99b157092624e7c5eab0a68a,49997d547e4ebe5079296dbe9f5aded1,712097dc3eb1c8c55094f5258d84fd98,84255c85b8698a373f281ac9393d28ab,9968e5581ada8b2b05972549efa4494c
101003	1	512a9d8ae499874a9637b36f930bcfdd
1017	1	4188f2130be998c0b93317959d45e87a
101f	1	712097dc3eb1c8c55094f5258d84fd98
101h	2	13aa6a118c466ac62169aacc3f3ec219,b723c0a6b322478652e00a3adc536572
101m	4	095c8dc813f0718e49118b6871f23980,172480efeaa0d98a7987f2d13ec04dba,69318110e2ae6793ccbaa86578c9d61a,e6a8c147d73480c07ece3498d9401978
101r	1	3b724e6d9bdb4158c4d6c003b7ea9718
101s	3	a121319582f50d66d4048868a97c202a,af888c7fcafacf20341e8b65b67d354c,ef0be29f98f0c3c29a567f8d1525b002
102	6	339b663c1c7f56a85cc92a40a227cf0f,4188f2130be998c0b93317959d45e87a,41ad3e0f99b157092624e7c5eab0a68a,512a9d8ae499874a9637b36f930bcfdd,712097dc3eb1c8c55094f5258d84fd98,cca25aece2c08945274919fa6c14b941
1021	1	ae2703abbfb990fb34c5f1e3800a5ba5
102f	2	712097dc3eb1c8c55094f5258d84fd98,a269f02efd4cac9dbbc0c250d5b7b95b
102h	2	13aa6a118c466ac62169aacc3f3ec219,b723c0a6b322478652e00a3adc536572
102m	3	69318110e2ae6793ccbaa86578c9d61a,a83ae03131ad1278e269350096ab1a98,c0617c260022183eb1cb3be16fd4a533
102s	2	13aa6a118c466ac62169aacc3f3ec219,af888c7fcafacf20341e8b65b67d354c
102t	1	af888c7fcafacf20341e8b65b67d354c
103	3	339b663c1c7f56a85cc92a40a227cf0f,4188f2130be998c0b93317959d45e87a,9dbe16684982fa1e2575333bda9e4da7
103-107	1	512a9d8ae499874a9637b36f930bcfdd
1035	1	4188f2130be998c0b93317959d45e87a
103h	2	13aa6a118c466ac62169aacc3f3ec219,b723c0a6b322478652e00a3adc536572
103m	3	095c8dc813f0718e49118b6871f23980,9122a1647296fe948c9f106143309588,a83ae03131ad1278e269350096ab1a98
103r	1	3b724e6d9bdb4158c4d6c003b7ea9718
104	1	495e4598657e942ed31d5e01039156b5
104h	3	13aa6a118c466ac62169aacc3f3ec219,af888c7fcafacf20341e8b65b67d354c,b723c0a6b322478652e00a3adc536572
105	4	03a973e1801d86168cea38b382c80bb2,4188f2130be998c0b93317959d45e87a,512a9d8ae499874a9637b36f930bcfdd,af888c7fcafacf20341e8b65b67d354c
105h	3	13aa6a118c466ac62169aacc3f3ec219,4be79d8f210eefd73707f8c8cb9ce132,b723c0a6b322478652e00a3adc536572
105n	1	65470e96c844070729e8250879d8dc35
106	2	9dbe16684982fa1e2575333bda9e4da7,dbbe64b4d38e13ec10d4942e204745c4
106-110	1	4188f2130be998c0b93317959d45e87a
106n	1	65470e96c844070729e8250879d8dc35
107	1	339b663c1c7f56a85cc92a40a227cf0f
108	1	4188f2130be998c0b93317959d45e87a
108-135	1	512a9d8ae499874a9637b36f930bcfdd
1092	1	f810bcfe78970ae45c43a3a228aeb461
1098t	1	5b3dc312b94c488a56040309e01c96b3
10th	5	035e6b199bf5201db0320e92b8444c31,4188f2130be998c0b93317959d45e87a,6d11d9cb251024ade228502c7c52af10,86452d51615b9d3972031cdc35edd640,f1982c9ea16ce1942178fc31e306e022
11	17	05c039dde5d4a96fc7716c8d8440d8c2,1c1bcfe081209d7fa65507d2d6f4d230,28d092fa1b4598311ef13807ca3ca8b7,2a4f4f765976d1c471189478318b2d0a,2b5f9d234790d3ee36d95ee0b96f2c99,4188f2130be998c0b93317959d45e87a,47d4cf38c5d82ed8750c6122648419be,5ab9b17049bdb9fe286a60cb8e6ebe26,8b62199c5edf70fd091d80548d24503d,95697c74f3429c56bfea26d4f3cdbc2f,9bfdacd3d86ec39077c29cfd895e0f4c,9dbe16684982fa1e2575333bda9e4da7,a3c3b73431e5d5518e07a571d0742c99,c93e08681d4df708cd14f44b9265d04e,cca25aece2c08945274919fa6c14b941,f2a7dbd010947f1c8d0f3cd91047db05,fd7aa833b546a64fe6e18f77a3ba4cd1
110	4	47d4cf38c5d82ed8750c6122648419be,82146df87c509ddaa3488179205d642b,95697c74f3429c56bfea26d4f3cdbc2f,975d068141281f97c439c4e736825e81
1106	1	f8d5b9d5f1efef4cadd56f1bcd132b75
110c	21	13aa6a118c466ac62169aacc3f3ec219,339b663c1c7f56a85cc92a40a227cf0f,3473d3e8aacec289efa0e8d2732fc1e4,3b724e6d9bdb4158c4d6c003b7ea9718,49997d547e4ebe5079296dbe9f5aded1,712097dc3eb1c8c55094f5258d84fd98,7cdbe28bd7fd9e8622a9995715114db9,84255c85b8698a373f281ac9393d28ab,a104a9cfd7a0eac8b7ab9493035c8fb5,a121319582f50d66d4048868a97c202a,a269f02efd4cac9dbbc0c250d5b7b95b,a51e6a97cd474c064846d7c297f4db93,aaf92d0f177be659ccd6fff1f839146d,af888c7fcafacf20341e8b65b67d354c,b84d2669e809b68f531ea69aa14473dd,c0617c260022183eb1cb3be16fd4a533,c0b2f61e9bcd9d4fc97655220ba65af5,cca25aece2c08945274919fa6c14b941,edf936c8d947edce4fa14c3e599082f6,eec2a1783980371f8e97071d82d429d4,ef0be29f98f0c3c29a567f8d1525b002
110n	1	65470e96c844070729e8250879d8dc35
110p	1	7cdbe28bd7fd9e8622a9995715114db9
110s	1	7ec366e5020adce458a4b28100e1f36c
111	4	25df369ee0b8c502cbc8df9bea888cd0,4188f2130be998c0b93317959d45e87a,edf936c8d947edce4fa14c3e599082f6,ef0be29f98f0c3c29a567f8d1525b002
111-117	1	0b547af2efad17b66221ccf0a9950110
111-119	1	975d068141281f97c439c4e736825e81
111-122	1	975d068141281f97c439c4e736825e81
111c	1	84255c85b8698a373f281ac9393d28ab
111f	1	712097dc3eb1c8c55094f5258d84fd98
111n	1	65470e96c844070729e8250879d8dc35
112	3	2f8364ee9ec945cd0fd87b99fd1a15e5,4188f2130be998c0b93317959d45e87a,edf936c8d947edce4fa14c3e599082f6
11250	1	9dbe16684982fa1e2575333bda9e4da7
112l	3	712097dc3eb1c8c55094f5258d84fd98,84255c85b8698a373f281ac9393d28ab,eec2a1783980371f8e97071d82d429d4
112n	1	65470e96c844070729e8250879d8dc35
112r	1	3b724e6d9bdb4158c4d6c003b7ea9718
113	3	339b663c1c7f56a85cc92a40a227cf0f,4188f2130be998c0b93317959d45e87a,cba3fee7775785371ee0fdbfab2dfb14
1137	1	f2a7dbd010947f1c8d0f3cd91047db05
113n	1	65470e96c844070729e8250879d8dc35
114	2	130406fdb7180205bacc893a14886a0e,f2a7dbd010947f1c8d0f3cd91047db05
114-120	1	495e4598657e942ed31d5e01039156b5
114l	2	84255c85b8698a373f281ac9393d28ab,eec2a1783980371f8e97071d82d429d4
115	4	339b663c1c7f56a85cc92a40a227cf0f,4188f2130be998c0b93317959d45e87a,9a07574941ac6d8fbda44ec7ea52b0b9,edf936c8d947edce4fa14c3e599082f6
115-130	1	512a9d8ae499874a9637b36f930bcfdd
115-141	1	f8d5b9d5f1efef4cadd56f1bcd132b75
116	1	4188f2130be998c0b93317959d45e87a
116894	1	05c039dde5d4a96fc7716c8d8440d8c2
117	2	47d4cf38c5d82ed8750c6122648419be,512a9d8ae499874a9637b36f930bcfdd
117-118	1	47d4cf38c5d82ed8750c6122648419be
117-123	1	4188f2130be998c0b93317959d45e87a
117n	1	65470e96c844070729e8250879d8dc35
118	1	4188f2130be998c0b93317959d45e87a
1188	1	512a9d8ae499874a9637b36f930bcfdd
1188-1192	1	512a9d8ae499874a9637b36f930bcfdd
118n	1	65470e96c844070729e8250879d8dc35
119-131	1	f2a7dbd010947f1c8d0f3cd91047db05
1192	1	512a9d8ae499874a9637b36f930bcfdd
11e	1	47d4cf38c5d82ed8750c6122648419be
11th	4	4070701955f558e5fb4697ce39d44f65,512a9d8ae499874a9637b36f930bcfdd,6668fcf920433c2ced752c0aafd95958,b723c0a6b322478652e00a3adc536572
